"filename", "language", "PHP", "JavaScript", "HTML", "JSON", "CSS", "Markdown", "XML", "Shell Script", "YAML", "Docker", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\jquery-datatable\buttons\buttons.colVis.min.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\jquery-datatable\buttons\buttons.flash.min.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\jquery-datatable\buttons\buttons.html5.min.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\jquery-datatable\buttons\buttons.print.min.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\jquery-datatable\buttons\dataTables.buttons.min.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 39
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\jquery-datatable\dataTables.bootstrap4.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\jquery-inputmask\jquery.inputmask.bundle.js", "JavaScript", 0, 2581, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29, 2617
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\jquery-knob\jquery.knob.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\jquery-sparkline\jquery.sparkline.js", "JavaScript", 0, 2454, 0, 0, 0, 0, 0, 0, 0, 0, 0, 350, 260, 3064
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\jquery-spinner\css\bootstrap-spinner.css", "CSS", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 1, 0, 61
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\jquery-spinner\js\jquery.spinner.js", "JavaScript", 0, 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 45, 255
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\jquery-steps\jquery.steps.css", "CSS", 0, 0, 0, 0, 313, 0, 0, 0, 0, 0, 0, 10, 59, 382
